NM_001010975.1	Ant	ADP/ATP translocase
XM_003250336.3	LOC100578116	zinc finger protein 480
XM_003250338.3	LOC552482	protoporphyrinogen oxidase
XM_003250339.3	LOC551815	putative methyltransferase C9orf114 homolog
XM_003250340.3	LOC724896	transmembrane protein 170A
XM_003250344.3	LOC411483	E3 UFM1-protein ligase 1 homolog
XM_003250346.3	LOC100576460	EF-hand calcium-binding domain-containing protein 1-like
XM_003250347.3	LOC100576617	uncharacterized LOC100576617
XM_003250351.3	LOC100576843	inner centromere protein
XM_003250360.3	LOC409451	thioredoxin-2
XM_003250367.3	LOC724928	tubulin-specific chaperone C
XM_003250369.3	LOC100576116	protein inscuteable homolog
XM_003250370.3	LOC100576151	STAGA complex 65 subunit gamma-like
XM_003250371.3	LOC409617	ADP-ribosylation factor GTPase-activating protein 2
XM_003250380.3	LOC100577396	uncharacterized LOC100577396
XM_003250384.3	LOC552536	adipocyte plasma membrane-associated protein
XM_003250385.3	LOC100578046	probable G-protein coupled receptor Mth-like 1
XM_003250386.3	LOC100578191	uncharacterized LOC100578191
XM_003250397.3	LOC100576274	zinc finger protein 32
XM_003250399.3	LOC100576392	transcriptional regulator Myc-B
XM_003250402.3	LOC100576960	DNA polymerase subunit gamma-2, mitochondrial
XM_003250404.3	LOC100577699	5-formyltetrahydrofolate cyclo-ligase
XM_003250406.3	LOC551667	bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial
XM_003250417.3	LOC100577014	uncharacterized LOC100577014
XM_003250419.3	LOC100577192	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2
XM_003250420.3	LOC551666	double-stranded RNA-binding protein Staufen homolog 2
XM_003250421.3	LOC100577343	uncharacterized LOC100577343
XM_003250422.3	LOC550885	nicotinate phosphoribosyltransferase
XM_003250424.3	LOC100578011	kinetochore protein ndc80
XM_003250427.3	LOC100578824	zinc finger protein ZIC 4-like
XM_003250428.3	LOC100578852	ribonucleases P/MRP protein subunit POP1
XM_003250430.3	LOC100579031	vascular endothelial growth factor A-A-like
XM_003250432.3	LOC100576140	uncharacterized LOC100576140
XM_003250433.3	LOC726689	prefoldin subunit 1
XM_003250439.3	LOC100577727	protein MANBAL
XM_003250440.3	LOC100577901	uncharacterized LOC100577901
XM_003250442.3	LOC100578200	uncharacterized LOC100578200
XM_003250445.3	LOC100576215	pancreas transcription factor 1 subunit alpha
XM_003250447.3	LOC100576215	pancreas transcription factor 1 subunit alpha
XM_003250459.3	LOC100577546	C1GALT1-specific chaperone 1-like protein
XM_003250463.3	LOC100578514	keratinocyte proline-rich protein-like
XM_003250464.3	LOC100578611	uncharacterized LOC100578611
XM_003250469.3	LOC100576165	uncharacterized LOC100576165
XM_003250478.3	LOC726269	probable phospholipid hydroperoxide glutathione peroxidase
XM_003250481.3	LOC552381	neutral and basic amino acid transport protein rBAT
XM_003250482.3	LOC100577967	uncharacterized LOC100577967
XM_003250483.3	LOC410165	RNA-binding protein Nova-1
XM_003250484.3	LOC100578106	uncharacterized LOC100578106
XM_003250488.3	LOC100578703	uncharacterized LOC100578703
XM_003250491.3	LOC100576805	chromatin assembly factor 1 subunit A-B
XM_003250494.3	LOC100577155	uncharacterized LOC100577155
XM_003250499.3	LOC100578776	uncharacterized LOC100578776
XM_003250500.3	LOC100578813	uncharacterized LOC100578813
XM_003250501.3	LOC100578877	uncharacterized LOC100578877
XM_003250503.3	LOC100576195	protein ccsmst1
XM_003250512.3	LOC725575	shootin-1-like
XM_003250519.3	LOC410744	glucose dehydrogenase [FAD, quinone]
XM_003250521.3	LOC552425	glucose dehydrogenase [FAD, quinone]
XM_003250530.3	LOC724961	protein drumstick
XM_003250533.3	LOC100577510	uncharacterized LOC100577510
XM_003250541.3	LOC100578168	glycoprotein 3-alpha-L-fucosyltransferase A
XM_003250542.3	LOC100578201	uncharacterized LOC100578201
XM_003250545.3	LOC100578526	solute carrier family 35 member E2-like
XM_003250547.3	LOC413840	glucose-6-phosphate exchanger SLC37A2
XM_003250548.3	LOC100578927	transcriptional repressor protein YY1-like
XM_003250549.3	LOC100578927	transcriptional repressor protein YY1-like
XM_003250552.3	LOC552286	acetyl-CoA carboxylase
XM_003250553.3	LOC100576619	CUE domain-containing protein 2
XM_003250555.3	LOC410370	actin-binding Rho-activating protein-like
XM_003250565.3	LOC100576227	uncharacterized protein MAL13P1.304-like
XM_003250566.3	LOC100576266	uncharacterized LOC100576266
XM_003250567.3	LOC100576770	serine hydrolase-like protein 2
XM_003250568.3	LOC100576961	uncharacterized LOC100576961
XM_003250569.3	LOC100577003	uncharacterized LOC100577003
XM_003250570.3	LOC100577082	uncharacterized LOC100577082
XM_003250580.3	LOC100578266	probable deoxyhypusine synthase
XM_003250582.3	LOC408889	large proline-rich protein BAG6
XM_003250585.3	LOC408891	methyl-CpG-binding domain protein 2
XM_003250586.3	LOC408891	methyl-CpG-binding domain protein 2
XM_003250600.3	LOC412666	serine/threonine-protein phosphatase PGAM5, mitochondrial-like
XM_003250601.3	LOC100577386	ankyrin repeat and LEM domain-containing protein 2
XM_003250611.3	LOC100578704	tubulin delta chain-like
XM_003250612.3	LOC100578816	uncharacterized LOC100578816
XM_003250614.3	LOC100576293	zinc finger protein 182
XM_003250616.3	LOC100576741	uncharacterized LOC100576741
XM_003250619.3	LOC100577156	chitinase-3-like protein 1
XM_003250620.3	LOC100577235	SET and MYND domain-containing protein 4-like
XM_003250627.3	LOC100577844	uncharacterized LOC100577844
XM_003250632.3	LOC100578641	uncharacterized LOC100578641
XM_003250634.3	LOC411091	RNA-binding protein 34-like
XM_003250636.3	LOC411095	zinc transporter 7
XM_003250637.3	LOC100576129	uncharacterized LOC100576129
XM_003250646.3	LOC100577362	uncharacterized LOC100577362
XM_003250647.3	LOC100577387	uncharacterized LOC100577387
XM_003250649.3	LOC100577632	phosphopantothenoylcysteine decarboxylase subunit VHS3-like
XM_003250654.3	LOC727309	glutaredoxin-C4
XM_003250655.3	LOC727309	glutaredoxin-C4
XM_003250660.3	LOC100576152	uncharacterized LOC100576152
XM_003250661.3	LOC100576184	uncharacterized LOC100576184
XM_003250667.3	LOC100576608	early endosome antigen 1
XM_003250668.3	LOC727280	uncharacterized LOC727280
XM_003250678.3	LOC100577938	odorant receptor 18
XM_003250690.3	LOC100576284	uncharacterized LOC100576284
XM_003250692.3	LOC100576433	protein DENND6A
XM_003250702.3	LOC100576944	odorant receptor 82a-like
XM_003250703.3	LOC100576984	odorant receptor 4-like
XM_003250706.3	LOC100577101	odorant receptor 4-like
XM_003250709.3	LOC100577226	odorant receptor 4-like
XM_003250717.3	LOC100577590	odorant receptor 20
XM_003250718.3	LOC100577634	odorant receptor 17
XM_003250719.3	LOC100577671	odorant receptor 16
XM_003250721.3	LOC100577787	odorant receptor 3
XM_003250726.3	LOC410874	lysine-specific demethylase lid
XM_003250728.3	LOC100578730	uncharacterized LOC100578730
XM_003250729.3	LOC100578730	uncharacterized LOC100578730
XM_003250732.3	LOC552365	protein lines
XM_003250734.3	LOC550664	desumoylating isopeptidase 2
XM_003250737.3	LOC552189	sorting nexin-17
XM_003250744.3	LOC552682	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit
XM_003250748.3	LOC100578048	uncharacterized LOC100578048
XM_003250751.3	LOC100578731	uncharacterized LOC100578731
XM_003250752.3	LOC100578769	uncharacterized LOC100578769
XM_003250753.3	LOC100578797	uncharacterized LOC100578797
XM_003250762.3	LOC100576963	zinc finger and BTB domain-containing protein 14-like
XM_003250765.3	LOC726364	metaxin-2
XM_003250766.3	LOC726268	uncharacterized LOC726268
XM_003250771.3	LOC100577980	uncharacterized LOC100577980
XM_003250773.3	LOC100578316	uncharacterized LOC100578316
XM_003250774.3	LOC100578448	uncharacterized LOC100578448
XM_003250778.3	LOC100576462	odorant receptor Or1-like
XM_003250783.3	LOC100576945	uncharacterized LOC100576945
XM_003250784.3	LOC100577069	hairy/enhancer-of-split related with YRPW motif protein
XM_003250786.3	LOC100577748	uncharacterized LOC100577748
XM_003250810.3	LOC100576646	dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial
XM_003250812.3	LOC100576742	integrin beta-nu-like
XM_003250814.3	LOC410253	ataxin-2 homolog
XM_003250817.3	LOC408312	tyrosine-protein kinase transmembrane receptor Ror2
XM_003250818.3	LOC410258	selenide, water dikinase
XM_003250827.3	LOC411458	histone-arginine methyltransferase CARMER
XM_003250828.3	LOC100579040	chondroitin sulfate synthase 2
XM_003250835.3	LOC100577344	gametocyte-specific factor 1-like
XM_003250836.3	LOC727222	serine/threonine-protein phosphatase 4 regulatory subunit 2
XM_003250839.3	LOC551467	syntaxin-18
XM_003250841.3	LOC100578745	uncharacterized LOC100578745
XM_003250842.2	LOC409184	DENN domain-containing protein 1B
XM_003250843.3	LOC726415	LIM/homeobox protein Lhx9-like
XM_003250845.3	LOC100576519	TLD domain-containing protein 1
XM_003250847.2	LOC100576744	uncharacterized LOC100576744
XM_003250848.3	LOC726408	zinc finger protein 706-like
XM_003250850.3	LOC726408	zinc finger protein 706-like
XM_003250851.3	LOC409941	zinc finger FYVE domain-containing protein 1-like
XM_003250856.3	LOC100577456	fibrillin-2-like
XM_003250857.3	LOC100577644	mitochondrial assembly of ribosomal large subunit protein 1
XM_003250858.3	LOC100577801	zinc finger protein ush
XM_003250871.3	LOC410322	ral guanine nucleotide dissociation stimulator
XM_003250880.3	LOC100576717	restin homolog
XM_003250885.3	LOC100577293	uncharacterized LOC100577293
XM_003250886.3	LOC724651	amphoterin-induced protein 2-like
XM_003250893.3	LOC100578025	proline-rich protein 4-like
XM_003250894.3	LOC100578055	uncharacterized LOC100578055
XM_003250895.3	LOC100578107	uncharacterized LOC100578107
XM_003250896.3	LOC726829	uncharacterized LOC726829
XM_003250899.3	LOC100578668	histone H3.v1-like
XM_003250903.3	LOC413224	sn1-specific diacylglycerol lipase alpha
XM_003250905.3	LOC107963967	serine protease inhibitor 3-like
XM_003250913.3	LOC100577829	uncharacterized LOC100577829
XM_003250915.3	LOC100578014	CCAAT/enhancer-binding protein zeta
XM_003250916.3	LOC100578121	uncharacterized LOC100578121
XM_003250921.3	LOC100578548	uncharacterized LOC100578548
XM_003250926.3	LOC725465	cell division cycle 7-related protein kinase-like
XM_003250928.3	LOC100576484	caspase-1-like
XM_003250932.3	LOC100577548	tubulin beta chain-like
XM_003250934.3	LOC100578015	centrosomal protein of 104 kDa
XM_003250939.3	LOC100578779	uncharacterized LOC100578779
XM_003250940.3	LOC100578879	protein CASC3
XM_003250942.3	LOC408791	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II
XM_003250943.3	LOC408791	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II
XM_003250944.3	LOC100576412	E3 ubiquitin-protein ligase RNF8-like
XM_003250945.3	LOC100576745	leucine-rich repeat-containing protein 26-like
XM_003250948.3	LOC100576964	uncharacterized LOC100576964
XM_003250952.3	LOC411207	CCAAT/enhancer-binding protein
XM_003250953.3	LOC100577553	protein ARV1
XM_003250957.3	LOC724740	fork head domain transcription factor slp1
XM_003250964.3	LOC100578999	uncharacterized LOC100578999
XM_003250979.3	LOC100578345	uncharacterized LOC100578345
XM_003250985.3	LOC100576355	uncharacterized LOC100576355
XM_003250986.3	LOC100576355	uncharacterized LOC100576355
XM_003250988.3	LOC726289	transcription factor AP-1
XM_003250994.3	LOC552798	putative sodium-coupled neutral amino acid transporter 10
XM_003251016.3	LOC100578732	uncharacterized LOC100578732
XM_003251017.3	LOC100578770	uncharacterized LOC100578770
XM_003251018.3	LOC100578798	uncharacterized LOC100578798
XM_003251023.2	LOC100576610	mitochondrial ribonuclease P protein 3
XM_003251024.3	LOC408981	activating transcription factor 3
XM_003251028.3	LOC100577702	39S ribosomal protein L11, mitochondrial
XM_003251031.3	LOC413926	sentrin-specific protease 1-like
XM_003251035.3	LOC100578566	uncharacterized LOC100578566
XM_003251037.3	LOC725797	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3
XM_003251040.3	LOC100578746	aprataxin and PNK-like factor
XM_003251041.3	LOC551934	uncharacterized LOC551934
XM_003251043.3	LOC725363	isopentenyl-diphosphate Delta-isomerase 1
XM_003251050.3	LOC100577295	zinc finger protein 184-like
XM_003251051.3	LOC100577335	protein rolling stone-like
XM_003251052.3	LOC100577335	protein rolling stone-like
XM_003251054.3	LOC408841	voltage-dependent calcium channel subunit alpha-2/delta-3
XM_003251058.3	LOC100577717	uncharacterized LOC100577717
XM_003251062.3	LOC100578085	uncharacterized LOC100578085
XM_003251063.3	LOC100578123	uncharacterized LOC100578123
XM_003251064.3	LOC100578156	uncharacterized LOC100578156
XM_003251065.3	LOC100578193	uncharacterized LOC100578193
XM_003251068.3	LOC100578476	uncharacterized LOC100578476
XM_003251072.2	LOC726310	GPI ethanolamine phosphate transferase 1-like
XM_003251073.3	LOC100576101	coiled-coil domain-containing protein 61-like
XM_003251074.3	LOC100576413	uncharacterized protein PF11_0213-like
XM_003251077.3	LOC100576794	pre-mRNA-splicing factor 38A
XM_003251081.3	LOC100577237	uncharacterized LOC100577237
XM_003251083.3	LOC725733	uncharacterized protein C14orf119
XM_003251085.3	LOC725478	N-acetyltransferase 6
XM_003251086.3	LOC725478	N-acetyltransferase 6
XM_003251098.3	LOC100576817	zinc finger and BTB domain-containing protein 41
XM_003251100.3	LOC410733	glucose dehydrogenase [FAD, quinone]
XM_003251101.3	LOC410733	glucose dehydrogenase [FAD, quinone]
XM_003251102.3	LOC551125	40S ribosomal protein S15Aa
XM_003251104.3	LOC409404	aminoacyl tRNA synthetase complex-interacting multifunctional protein 2-like
XM_003251105.3	LOC409406	probable nuclear transport factor 2
XM_003251107.3	LOC412266	60S ribosomal protein L27
XM_003251108.2	LOC412266	60S ribosomal protein L27
XM_003251110.3	LOC413791	TBC1 domain family member 24
XM_003251113.3	LOC551457	GDP-fucose protein O-fucosyltransferase 1
XM_003251114.2	LOC100576198	bromodomain-containing protein DDB_G0270170-like
XM_003251117.3	LOC409245	beta-1,4-glucuronyltransferase 1
XM_003251119.3	LOC413875	60S ribosomal protein L31
XM_003251121.3	LOC409715	bumetanide-sensitive sodium-(potassium)-chloride cotransporter
XM_003251129.3	LOC100577889	uncharacterized LOC100577889
XM_003251133.3	LOC413467	serine/threonine-protein kinase ULK3
XM_003251140.3	LOC410157	ras-related protein Rab-23
XM_003251141.3	LOC100576445	uncharacterized LOC100576445
XM_003251145.3	LOC100577530	uncharacterized LOC100577530
XM_003251147.3	LOC410867	uncharacterized LOC410867
XM_003251148.3	LOC100577749	uncharacterized LOC100577749
XM_003251149.3	LOC100578072	uncharacterized LOC100578072
XM_003251153.3	LOC100578478	uncharacterized LOC100578478
XM_003251155.3	LOC100578691	rhoGEF domain-containing protein gxcJ-like
XM_003251156.3	LOC100578801	uncharacterized LOC100578801
XM_003251159.3	LOC100576253	DNA ligase 1
XM_003251160.3	LOC724220	synaptotagmin-10
XM_003251162.3	LOC100576795	uncharacterized protein YJR142W
XM_003251165.3	LOC552026	F-actin-uncapping protein LRRC16A
XM_003251166.3	LOC100578232	notch homolog 2 N-terminal-like protein
XM_003251169.3	LOC411541	glycerate kinase
XM_003251173.3	LOC724757	histone H4
XM_003251175.3	LOC100576497	uncharacterized LOC100576497
XM_003251176.3	LOC552505	monocarboxylate transporter 9-like
XM_003251177.3	LOC100576784	high mobility group B protein 6-like
XM_003251179.3	LOC100576974	uncharacterized LOC100576974
XM_003251188.3	LOC100578734	uncharacterized protein C1orf131 homolog
XM_003251191.3	LOC725023	mediator of RNA polymerase II transcription subunit 26
XM_003251193.3	LOC551131	protein max
XM_003251195.3	LOC100576746	uncharacterized LOC100576746
XM_003251197.2	LOC100576936	uncharacterized LOC100576936
XM_003251198.3	LOC100576975	zinc finger protein 567
XM_003251199.3	LOC100577283	uncharacterized LOC100577283
XM_003251212.3	LOC724875	corepressor interacting with RBPJ 1
XM_003251213.3	LOC406118	DDB1- and CUL4-associated factor 11
XM_003251215.2	LOC100576871	probable serine/threonine-protein kinase ndrD
XM_003251218.3	LOC100577742	uncharacterized LOC100577742
XM_003251219.3	LOC552620	oxysterol-binding protein-related protein 9
XM_003251222.3	LOC100578614	tctex1 domain-containing protein 1
XM_003251228.3	LOC100576796	uncharacterized LOC100576796
XM_003251233.3	LOC100577661	uncharacterized LOC100577661
XM_003251235.3	LOC100577903	uncharacterized protein MAL13P1.304-like
XM_003251236.3	LOC408672	programmed cell death protein 6
XM_003251238.3	LOC100578170	uncharacterized LOC100578170
XM_003251239.3	LOC100578412	uncharacterized LOC100578412
XM_003251240.3	LOC100578484	uncharacterized LOC100578484
XM_003251241.3	LOC725144	uncharacterized LOC725144
XM_003251245.3	LOC410820	otopetrin-2
XM_003251247.3	LOC100576254	uncharacterized LOC100576254
XM_003251248.3	LOC410824	spondin-1
XM_003251250.3	LOC100576706	peptidyl-prolyl cis-trans isomerase D
XM_003251251.3	LOC100577606	uncharacterized LOC100577606
XM_003251266.3	LOC100576986	uncharacterized LOC100576986
XM_003251267.3	LOC100577106	uncharacterized LOC100577106
XM_003251269.3	LOC100577635	uncharacterized LOC100577635
XM_003251272.3	LOC410130	PRA1 family protein 3
XM_003251277.3	LOC100578780	helix-loop-helix protein delilah-like
XM_003251278.3	LOC724458	achaete-scute complex protein T3-like
XM_003251279.3	LOC727455	UBA-like domain-containing protein 2
XM_003251284.3	LOC724494	methionine-R-sulfoxide reductase B1
XM_003251286.3	LOC724453	serine/threonine-protein kinase PAK 3
XM_003251288.3	LOC100576837	S-adenosylmethionine decarboxylase proenzyme-like
XM_003251294.3	LOC725049	nuclear nucleic acid-binding protein C1D-like
XM_003251295.3	LOC100577513	uncharacterized LOC100577513
XM_003251296.3	LOC100577576	chondroitin proteoglycan-2-like
XM_003251299.3	LOC100578040	rotatin
XM_003251304.3	LOC100576104	INO80 complex subunit B
